I0918 08:20:18.084102 3053258 real_client.cpp:6589] SSD prefetch: get-side kick, disk_keys=40, in_cooldown=0
I0918 08:20:18.087225 3052645 real_client.cpp:6589] SSD prefetch: get-side kick, disk_keys=40, in_cooldown=0
I0918 08:20:18.221519 3052712 real_client.cpp:6589] SSD prefetch: get-side kick, disk_keys=40, in_cooldown=0
I0918 08:20:18.234501 3053076 real_client.cpp:6589] SSD prefetch: get-side kick, disk_keys=40, in_cooldown=0
I0918 08:20:18.235023 3052983 real_client.cpp:6589] SSD prefetch: get-side kick, disk_keys=40, in_cooldown=0
I0918 08:20:18.235327 3052890 real_client.cpp:6589] SSD prefetch: get-side kick, disk_keys=40, in_cooldown=0
I0918 08:20:18.236078 3052645 real_client.cpp:6589] SSD prefetch: get-side kick, disk_keys=40, in_cooldown=0
I0918 08:20:18.236122 3052804 real_client.cpp:6589] SSD prefetch: get-side kick, disk_keys=40, in_cooldown=0
I0918 08:20:18.237799 3053165 real_client.cpp:6589] SSD prefetch: get-side kick, disk_keys=40, in_cooldown=0
I0918 08:20:18.239499 3053258 real_client.cpp:6589] SSD prefetch: get-side kick, disk_keys=40, in_cooldown=0
I0918 08:20:21.566012 3052712 real_client.cpp:6589] SSD prefetch: get-side kick, disk_keys=40, in_cooldown=0
I0918 08:20:21.566109 3052804 real_client.cpp:6589] SSD prefetch: get-side kick, disk_keys=40, in_cooldown=0
I0918 08:20:21.566229 3053076 real_client.cpp:6589] SSD prefetch: get-side kick, disk_keys=40, in_cooldown=0
I0918 08:20:21.566310 3052983 real_client.cpp:6589] SSD prefetch: get-side kick, disk_keys=40, in_cooldown=0
I0918 08:20:21.566627 3052645 real_client.cpp:6589] SSD prefetch: get-side kick, disk_keys=40, in_cooldown=0
I0918 08:20:21.566746 3053258 real_client.cpp:6589] SSD prefetch: get-side kick, disk_keys=40, in_cooldown=0
I0918 08:20:21.573742 3053165 real_client.cpp:6589] SSD prefetch: get-side kick, disk_keys=40, in_cooldown=0
I0918 08:20:21.575730 3052890 real_client.cpp:6589] SSD prefetch: get-side kick, disk_keys=40, in_cooldown=0
I0918 08:20:22.601119 3052712 real_client.cpp:6589] SSD prefetch: get-side kick, disk_keys=40, in_cooldown=0
I0918 08:20:22.601980 3052983 real_client.cpp:6589] SSD prefetch: get-side kick, disk_keys=40, in_cooldown=0
I0918 08:20:22.601989 3053165 real_client.cpp:6589] SSD prefetch: get-side kick, disk_keys=40, in_cooldown=0
I0918 08:20:22.602052 3052890 real_client.cpp:6589] SSD prefetch: get-side kick, disk_keys=40, in_cooldown=0
I0918 08:20:22.602129 3053076 real_client.cpp:6589] SSD prefetch: get-side kick, disk_keys=40, in_cooldown=0
I0918 08:20:22.602399 3052804 real_client.cpp:6589] SSD prefetch: get-side kick, disk_keys=40, in_cooldown=0
I0918 08:20:22.602860 3053258 real_client.cpp:6589] SSD prefetch: get-side kick, disk_keys=40, in_cooldown=0
I0918 08:20:22.616021 3052645 real_client.cpp:6589] SSD prefetch: get-side kick, disk_keys=40, in_cooldown=0
I0918 08:20:22.762185 3053165 real_client.cpp:6589] SSD prefetch: get-side kick, disk_keys=40, in_cooldown=0
I0918 08:20:22.764322 3052804 real_client.cpp:6589] SSD prefetch: get-side kick, disk_keys=40, in_cooldown=0
I0918 08:20:22.765014 3052983 real_client.cpp:6589] SSD prefetch: get-side kick, disk_keys=40, in_cooldown=0
I0918 08:20:22.765902 3052712 real_client.cpp:6589] SSD prefetch: get-side kick, disk_keys=40, in_cooldown=0
I0918 08:20:22.766426 3052890 real_client.cpp:6589] SSD prefetch: get-side kick, disk_keys=40, in_cooldown=0
I0918 08:20:22.767390 3053258 real_client.cpp:6589] SSD prefetch: get-side kick, disk_keys=40, in_cooldown=0
I0918 08:20:22.769495 3053076 real_client.cpp:6589] SSD prefetch: get-side kick, disk_keys=40, in_cooldown=0
I0918 08:20:22.773734 3052645 real_client.cpp:6589] SSD prefetch: get-side kick, disk_keys=40, in_cooldown=0
I0918 08:20:22.918629 3053165 real_client.cpp:6589] SSD prefetch: get-side kick, disk_keys=40, in_cooldown=0
I0918 08:20:22.921836 3052804 real_client.cpp:6589] SSD prefetch: get-side kick, disk_keys=40, in_cooldown=0
I0918 08:20:22.922080 3052712 real_client.cpp:6589] SSD prefetch: get-side kick, disk_keys=40, in_cooldown=0
I0918 08:20:22.922361 3052983 real_client.cpp:6589] SSD prefetch: get-side kick, disk_keys=40, in_cooldown=0
I0918 08:20:22.923039 3052890 real_client.cpp:6589] SSD prefetch: get-side kick, disk_keys=40, in_cooldown=0
I0918 08:20:22.924762 3052645 real_client.cpp:6589] SSD prefetch: get-side kick, disk_keys=40, in_cooldown=0
I0918 08:20:22.927446 3053076 real_client.cpp:6589] SSD prefetch: get-side kick, disk_keys=40, in_cooldown=0
I0918 08:20:22.931265 3053258 real_client.cpp:6589] SSD prefetch: get-side kick, disk_keys=40, in_cooldown=0
I0918 08:20:26.237563 3053258 real_client.cpp:6589] SSD prefetch: get-side kick, disk_keys=40, in_cooldown=0
I0918 08:20:26.237640 3052712 real_client.cpp:6589] SSD prefetch: get-side kick, disk_keys=40, in_cooldown=0
I0918 08:20:26.237651 3052890 real_client.cpp:6589] SSD prefetch: get-side kick, disk_keys=40, in_cooldown=0
I0918 08:20:26.237735 3053165 real_client.cpp:6589] SSD prefetch: get-side kick, disk_keys=40, in_cooldown=0
I0918 08:20:26.237896 3052645 real_client.cpp:6589] SSD prefetch: get-side kick, disk_keys=40, in_cooldown=0
I0918 08:20:26.238018 3052804 real_client.cpp:6589] SSD prefetch: get-side kick, disk_keys=40, in_cooldown=0
I0918 08:20:26.238047 3053076 real_client.cpp:6589] SSD prefetch: get-side kick, disk_keys=40, in_cooldown=0
I0918 08:20:26.247040 3052983 real_client.cpp:6589] SSD prefetch: get-side kick, disk_keys=40, in_cooldown=0
I0918 08:20:27.264274 3052712 real_client.cpp:6589] SSD prefetch: get-side kick, disk_keys=40, in_cooldown=0
I0918 08:20:27.264613 3053165 real_client.cpp:6589] SSD prefetch: get-side kick, disk_keys=40, in_cooldown=0
I0918 08:20:27.264861 3052890 real_client.cpp:6589] SSD prefetch: get-side kick, disk_keys=40, in_cooldown=0
I0918 08:20:27.264962 3053258 real_client.cpp:6589] SSD prefetch: get-side kick, disk_keys=40, in_cooldown=0
I0918 08:20:27.265091 3053076 real_client.cpp:6589] SSD prefetch: get-side kick, disk_keys=40, in_cooldown=0
I0918 08:20:27.265094 3052983 real_client.cpp:6589] SSD prefetch: get-side kick, disk_keys=40, in_cooldown=0
I0918 08:20:27.265312 3052804 real_client.cpp:6589] SSD prefetch: get-side kick, disk_keys=40, in_cooldown=0
I0918 08:20:27.278226 3052645 real_client.cpp:6589] SSD prefetch: get-side kick, disk_keys=40, in_cooldown=0
I0918 08:20:27.420847 3053076 real_client.cpp:6589] SSD prefetch: get-side kick, disk_keys=40, in_cooldown=0
I0918 08:20:27.420925 3053258 real_client.cpp:6589] SSD prefetch: get-side kick, disk_keys=40, in_cooldown=0
I0918 08:20:27.421047 3053165 real_client.cpp:6589] SSD prefetch: get-side kick, disk_keys=40, in_cooldown=0
I0918 08:20:27.422863 3052804 real_client.cpp:6589] SSD prefetch: get-side kick, disk_keys=40, in_cooldown=0
I0918 08:20:27.424654 3052712 real_client.cpp:6589] SSD prefetch: get-side kick, disk_keys=40, in_cooldown=0
I0918 08:20:27.427363 3052983 real_client.cpp:6589] SSD prefetch: get-side kick, disk_keys=40, in_cooldown=0
I0918 08:20:27.427534 3052645 real_client.cpp:6589] SSD prefetch: get-side kick, disk_keys=40, in_cooldown=0
I0918 08:20:27.430060 3052890 real_client.cpp:6589] SSD prefetch: get-side kick, disk_keys=40, in_cooldown=0
I0918 08:20:27.572642 3052804 real_client.cpp:6589] SSD prefetch: get-side kick, disk_keys=40, in_cooldown=0
I0918 08:20:27.572688 3053165 real_client.cpp:6589] SSD prefetch: get-side kick, disk_keys=40, in_cooldown=0
I0918 08:20:27.573753 3053076 real_client.cpp:6589] SSD prefetch: get-side kick, disk_keys=40, in_cooldown=0
I0918 08:20:27.575707 3052712 real_client.cpp:6589] SSD prefetch: get-side kick, disk_keys=40, in_cooldown=0
I0918 08:20:27.575716 3052983 real_client.cpp:6589] SSD prefetch: get-side kick, disk_keys=40, in_cooldown=0
I0918 08:20:27.577817 3053258 real_client.cpp:6589] SSD prefetch: get-side kick, disk_keys=40, in_cooldown=0
I0918 08:20:27.579632 3052645 real_client.cpp:6589] SSD prefetch: get-side kick, disk_keys=40, in_cooldown=0
I0918 08:20:27.579859 3052890 real_client.cpp:6589] SSD prefetch: get-side kick, disk_keys=40, in_cooldown=0
I0918 08:20:30.913578 3052712 real_client.cpp:6589] SSD prefetch: get-side kick, disk_keys=40, in_cooldown=0
I0918 08:20:30.913584 3053165 real_client.cpp:6589] SSD prefetch: get-side kick, disk_keys=40, in_cooldown=0
I0918 08:20:30.913738 3052983 real_client.cpp:6589] SSD prefetch: get-side kick, disk_keys=40, in_cooldown=0
I0918 08:20:30.913890 3052804 real_client.cpp:6589] SSD prefetch: get-side kick, disk_keys=40, in_cooldown=0
I0918 08:20:30.913959 3052890 real_client.cpp:6589] SSD prefetch: get-side kick, disk_keys=40, in_cooldown=0
I0918 08:20:30.914585 3053076 real_client.cpp:6589] SSD prefetch: get-side kick, disk_keys=40, in_cooldown=0
I0918 08:20:30.914981 3052645 real_client.cpp:6589] SSD prefetch: get-side kick, disk_keys=40, in_cooldown=0
I0918 08:20:30.923852 3053258 real_client.cpp:6589] SSD prefetch: get-side kick, disk_keys=40, in_cooldown=0
I0918 08:20:52.488003 3052712 real_client.cpp:6589] SSD prefetch: get-side kick, disk_keys=40, in_cooldown=0
I0918 08:20:52.489025 3053076 real_client.cpp:6589] SSD prefetch: get-side kick, disk_keys=40, in_cooldown=0
I0918 08:20:52.489593 3052890 real_client.cpp:6589] SSD prefetch: get-side kick, disk_keys=40, in_cooldown=0
I0918 08:20:52.490007 3052983 real_client.cpp:6589] SSD prefetch: get-side kick, disk_keys=40, in_cooldown=0
I0918 08:20:52.490077 3052804 real_client.cpp:6589] SSD prefetch: get-side kick, disk_keys=40, in_cooldown=0
I0918 08:20:52.490111 3053258 real_client.cpp:6589] SSD prefetch: get-side kick, disk_keys=40, in_cooldown=0
I0918 08:20:52.490403 3053165 real_client.cpp:6589] SSD prefetch: get-side kick, disk_keys=40, in_cooldown=0
I0918 08:20:52.498026 3052645 real_client.cpp:6589] SSD prefetch: get-side kick, disk_keys=40, in_cooldown=0
I0918 08:20:55.567703 3052645 real_client.cpp:6589] SSD prefetch: get-side kick, disk_keys=40, in_cooldown=0
I0918 08:20:55.567857 3052890 real_client.cpp:6589] SSD prefetch: get-side kick, disk_keys=40, in_cooldown=0
I0918 08:20:55.567860 3052983 real_client.cpp:6589] SSD prefetch: get-side kick, disk_keys=40, in_cooldown=0
I0918 08:20:55.567917 3052712 real_client.cpp:6589] SSD prefetch: get-side kick, disk_keys=40, in_cooldown=0
I0918 08:20:55.568234 3053076 real_client.cpp:6589] SSD prefetch: get-side kick, disk_keys=40, in_cooldown=0
I0918 08:20:55.568259 3053165 real_client.cpp:6589] SSD prefetch: get-side kick, disk_keys=40, in_cooldown=0
I0918 08:20:55.568485 3052804 real_client.cpp:6589] SSD prefetch: get-side kick, disk_keys=40, in_cooldown=0
I0918 08:20:55.579408 3053258 real_client.cpp:6589] SSD prefetch: get-side kick, disk_keys=40, in_cooldown=0
I0918 08:20:56.653242 3052890 real_client.cpp:6589] SSD prefetch: get-side kick, disk_keys=40, in_cooldown=0
I0918 08:20:56.653393 3052712 real_client.cpp:6589] SSD prefetch: get-side kick, disk_keys=40, in_cooldown=0
I0918 08:20:56.653401 3052804 real_client.cpp:6589] SSD prefetch: get-side kick, disk_keys=40, in_cooldown=0
I0918 08:20:56.653419 3053165 real_client.cpp:6589] SSD prefetch: get-side kick, disk_keys=40, in_cooldown=0
I0918 08:20:56.653716 3053076 real_client.cpp:6589] SSD prefetch: get-side kick, disk_keys=40, in_cooldown=0
I0918 08:20:56.653967 3052983 real_client.cpp:6589] SSD prefetch: get-side kick, disk_keys=40, in_cooldown=0
I0918 08:20:56.665460 3053258 real_client.cpp:6589] SSD prefetch: get-side kick, disk_keys=40, in_cooldown=0
I0918 08:20:56.699885 3052645 real_client.cpp:6589] SSD prefetch: get-side kick, disk_keys=40, in_cooldown=0
I0918 08:20:57.369402 3052712 real_client.cpp:6589] SSD prefetch: get-side kick, disk_keys=40, in_cooldown=0
I0918 08:20:57.369740 3052983 real_client.cpp:6589] SSD prefetch: get-side kick, disk_keys=40, in_cooldown=0
I0918 08:20:57.369747 3052804 real_client.cpp:6589] SSD prefetch: get-side kick, disk_keys=40, in_cooldown=0
I0918 08:20:57.369866 3052890 real_client.cpp:6589] SSD prefetch: get-side kick, disk_keys=40, in_cooldown=0
I0918 08:20:57.370275 3053165 real_client.cpp:6589] SSD prefetch: get-side kick, disk_keys=40, in_cooldown=0
I0918 08:20:57.381289 3053076 real_client.cpp:6589] SSD prefetch: get-side kick, disk_keys=40, in_cooldown=0
I0918 08:20:57.383142 3053258 real_client.cpp:6589] SSD prefetch: get-side kick, disk_keys=40, in_cooldown=0
I0918 08:20:57.409061 3052645 real_client.cpp:6589] SSD prefetch: get-side kick, disk_keys=40, in_cooldown=0
I0918 08:20:58.085053 3052712 real_client.cpp:6589] SSD prefetch: get-side kick, disk_keys=40, in_cooldown=0
I0918 08:20:58.085110 3052645 real_client.cpp:6589] SSD prefetch: get-side kick, disk_keys=40, in_cooldown=0
I0918 08:20:58.085893 3052804 real_client.cpp:6589] SSD prefetch: get-side kick, disk_keys=40, in_cooldown=0
I0918 08:20:58.085985 3052983 real_client.cpp:6589] SSD prefetch: get-side kick, disk_keys=40, in_cooldown=0
I0918 08:20:58.086058 3052890 real_client.cpp:6589] SSD prefetch: get-side kick, disk_keys=40, in_cooldown=0
I0918 08:20:58.086265 3053165 real_client.cpp:6589] SSD prefetch: get-side kick, disk_keys=40, in_cooldown=0
I0918 08:20:58.086385 3053258 real_client.cpp:6589] SSD prefetch: get-side kick, disk_keys=40, in_cooldown=0
I0918 08:20:58.096596 3053076 real_client.cpp:6589] SSD prefetch: get-side kick, disk_keys=40, in_cooldown=0
